JD NO3 PO4 chla P ice PAR SST PUR
328 29.25 2.025 0.45 40.5 0 797 -0.6 318.8
329 29.25 2 0.45 40.5 0 623 -0.15 249.2
330 29.25 2 0.5 45 0 508 -0.15 203.2
331 29.25 2 0.5 45 0 517 -0.15 206.8
332 29.25 2 0.5 45 0 520 -0.15 208
333 29 2 0.5 45 0 539 -0.15 215.6
334 28.75 2 0.5 45 0 567 -0.15 226.8
335 28.75 2 0.55 49.5 0 586 -0.15 234.4
336 28.75 1.975 1.033333333 93 0 621 0.15 248.4
337 28.75 1.975 1.033333333 93 0 571 0.15 228.4
338 28.75 1.95 1.033333333 93 0 596 0.15 238.4
339 28.5 1.95 1.033333333 93 0 779 0.15 311.6
340 28.5 1.95 1.033333333 93 0 853 0.15 341.2
341 28.5 1.95 1.033333333 93 0 894 0.15 357.6
342 28.25 1.95 1.020996188 91.88965688 0 680 0.15 272
343 28.25 1.825 1.170297528 105.3267775 0 751 0.3 300.4
344 28.25 1.825 1.40277774 126.2499966 0 816 0.3 326.4
345 27.89 1.825 1.853947198 166.8552478 0 842 0.3 336.8
346 27.89 1.825 1.853947198 166.8552478 0 928 0.3 371.2
347 27.46777778 1.7 2.185541702 196.6987532 0 833 0.3 333.2
348 26.73111111 1.7 2.53734899 228.3614091 0 921 0.3 368.4
349 25.79258889 1.7 2.53734899 228.3614091 0 1020 0.3 408
350 24.84767824 1.577222222 2.53734899 228.3614091 0 836 0.3 334.4
351 24.64247421 1.520814815 2.814113131 253.2701818 0 875 0.3 350
352 23.86034675 1.473688034 3.46234899 311.6114091 0 1074 0.3 429.6
353 22.39180508 1.409350427 3.855421324 346.9879192 0 882 0.3 352.8
354 21.36779499 1.336688034 4.169879192 375.2891272 0 852 0.3 340.8
355 20.67080121 1.360850427 4.169879192 375.2891272 0 815 0.3 326
356 19.3377103 1.360850427 4.169879192 375.2891272 0 951 0.3 380.4
357 18.74750343 1.360850427 4.41097688 396.9879192 0 803 0.15 321.2
358 18.0544082 1.360850427 4.534777509 408.1299758 0 737 0.15 294.8
359 17.29470491 1.360850427 4.534777509 408.1299758 0 788 0.15 315.2
360 16.7661039 1.370208689 4.534777509 408.1299758 0 855 0.15 342
361 16.5011039 1.342467949 4.534777509 408.1299758 0 847 0.15 338.8
362 15.96091451 1.329361538 4.499508387 404.9557548 0 888 0.15 355.2
363 15.12504431 1.28995 4.851060751 436.5954676 0 780 0.15 312
364 15.20313522 1.295994444 5.193678291 467.4310462 0 701 0.15 280.4
365 15.7648535 1.264097934 5.522240728 497.0016655 0 784 0.15 313.6
366 15.2709574 1.093264601 5.85298701 526.7688309 0 736 0.15 294.4
367 15.35314405 1.093264601 5.85298701 526.7688309 0 738.3 0.15 295.32
368 15.63177841 1.093264601 6.132633391 551.9370051 0 747.8 0.15 299.12
369 15.21083999 1.093264601 6.359160069 572.3244062 0 821.1 0.15 328.44
370 15.07462071 1.093264601 6.359160069 572.3244062 0 827 0.15 330.8
371 14.88307601 0.940431268 6.204433391 558.3990051 0 751.9 0.15 300.76
372 14.41806621 0.870917521 6.304542906 567.4088616 0 719.2 0.15 287.68
373 13.6552911 0.870917521 5.896142906 530.6528616 0 768.4 0.15 307.36
374 15.14342735 0.804834402 5.712166724 514.0950051 0 779.1 0.15 311.64
375 14.15980769 0.679038462 5.454600069 490.9140062 0 782.6 0.15 313.04
376 9.61375 0.5775 5.454600069 490.9140062 0 798.5 0.15 319.4
377 10.17625 0.791481481 5.454600069 490.9140062 0 813.6 0.15 325.44
378 10.12775641 0.863611111 5.454600069 490.9140062 0 863 0.15 345.2
379 10.12775641 0.863611111 5.406004292 486.5403863 0 851.7 0.15 340.68
380 10.12775641 0.863611111 5.406004292 486.5403863 0 757.3 0.15 302.92
381 10.12775641 0.863611111 5.406004292 486.5403863 0 743.3 0.15 297.32
382 10.19769231 1.012361111 5.406004292 486.5403863 0 791.4 0.15 316.56
383 10.19769231 1.012361111 5.825733333 524.316 0 631.1 0.15 252.44
384 10.19769231 1.012361111 5.825733333 524.316 0 655.9 0.15 262.36
385 10.19769231 1.012361111 5.247133333 472.242 0 624.5 0.15 249.8
386 10.19769231 1.012361111 4.578826667 412.0944 0 564.4 0.15 225.76
387 10.17608974 1.083148148 4.578826667 412.0944 0 591.2 0.15 236.48
388 10.21913462 1.0875 4.578826667 412.0944 0 629.6 0.15 251.84
389 10.4075 1.095 4.578826667 412.0944 0 569.5 0.15 227.8
390 10.36463235 1.126617647 4.037438889 363.3695 0 673 0.15 269.2
391 10.52197712 1.120337691 4.037438889 363.3695 0 538 0.15 215.2
392 10.52197712 1.120337691 3.758766667 338.289 0 610.2 0.15 244.08
393 10.57921569 1.133006536 2.972158333 267.49425 0 617.1 0.15 246.84
394 10.57921569 1.133006536 2.249144444 202.423 0 662.1 0.15 264.84
395 11.47281046 1.184504357 1.961858333 176.56725 0 694.9 0.15 277.96
396 10.87094118 1.158544935 1.961858333 176.56725 0 719.3 0.15 287.72
397 10.87094118 1.158544935 1.961858333 176.56725 0 643.8 0.15 257.52
398 10.87094118 1.158544935 1.961858333 176.56725 0 638.2 0.15 255.28
399 10.87094118 1.158544935 1.961858333 176.56725 0 604.1 -0.0749998 241.64
400 11.09675294 1.176835948 1.749486667 157.4538 0 678.4 -0.0749998 271.36
401 11.2905 1.181486111 1.749486667 157.4538 0 634.8 -0.0749998 253.92
402 11.44177778 1.206055556 1.749486667 157.4538 0 632.8 -0.0749998 253.12
403 11.44177778 1.206055556 1.749486667 157.4538 0 772.8 -0.0749998 309.12
404 11.44177778 1.206055556 1.749486667 157.4538 0 611.2 -0.0749998 244.48
405 12.33133333 1.254541667 1.591238889 143.2115 0 503.6 -0.0749998 201.44
406 12.02177778 1.243555556 1.20722 108.6498 0 582.2 -0.225 232.88
407 13.5 1.325 1.032625 92.93625 0 425.2 -0.225 170.08
408 13.5 1.325 1.032625 92.93625 0 431.8 -0.225 172.72
409 13.5 1.325 1.032625 92.93625 0 571.7 -0.225 228.68
410 14.5 1.383333333 0.9661 86.949 0 446.6 -0.225 178.64
411 15.75 1.45 0.875 78.75 0 537.1 -0.225 214.84
412 15.75 1.45 0.875 78.75 0 643.2 -0.225 257.28
413 15.75 1.45 0.875 78.75 0 582 -0.225 232.8
414 15.75 1.45 0.875 78.75 0 433.9 -0.225 173.56
415 16.5 1.5 0.82 73.8 0 493.5 -0.225 197.4
416 17.25 1.55 0.75 67.5 0 339.9 -0.225 135.96
417 17.25 1.55 0.75 67.5 0 322.6 -0.225 129.04
418 17.25 1.55 0.75 67.5 0 345.7 -0.225 138.28
419 17.25 1.55 0.75 67.5 0 376.4 -0.225 150.56
420 18.16666667 1.6 0.7 63 0 336.9 -0.45 134.76
421 19 1.65 0.65 58.5 0 306.8 -0.45 122.72
422 19 1.65 0.65 58.5 0 340.4 -0.45 136.16
423 19 1.65 0.65 58.5 0 336.4 -0.45 134.56
424 19 1.65 0.65 58.5 0.2 281.1 -0.45 112.44
425 20 1.7 0.6 54 0.24 302.3 -0.45 120.92
426 21 1.75 0.55 49.5 0.25 330.5 -0.45 132.2
427 21 1.75 0.55 49.5 0.34 352.2 -0.75 140.88
428 21 1.75 0.55 49.5 0.35 350.2 -0.75 140.08
429 21 1.75 0.55 49.5 0.43 374 -0.75 149.6
430 21.83333333 1.783333333 0.5 45 0.5 338.5 -0.75 135.4
431 22.75 1.825 0.45 40.5 0.5 376.2 -0.75 150.48
432 22.75 1.825 0.45 40.5 0.58 350.8 -0.75 140.32
433 22.75 1.825 0.45 40.5 0.65 288.6 -0.75 115.44
434 22.75 1.825 0.45 40.5 0.6 300.1 -1.05 120.04
435 23.5 1.85 0.41 36.9 0.47 225 -1.05 90
436 24.25 1.875 0.3625 32.625 0.6 226.6 -1.05 90.64
437 24.25 1.875 0.3625 32.625 0.68 296.3 -1.05 118.52
438 24.25 1.875 0.3625 32.625 0.62 219.9 -1.05 87.96
439 24.25 1.875 0.3625 32.625 0.63 243.6 -1.05 97.44
440 24.66666667 1.9 0.33 29.7 0.76 185.6 -1.05 74.24
441 25.25 1.925 0.2875 25.875 0.76 181.6 -1.5 72.64
442 25.25 1.925 0.2875 25.875 0.77 170.5 -1.5 68.2
443 25.25 1.925 0.2875 25.875 0.78 163.4 -1.5 65.36
444 25.25 1.925 0.2875 25.875 0.87 164.8 -1.5 65.92
445 25.5 1.95 0.26 23.4 0.86 160.9 -1.5 64.36
446 25.75 1.975 0.225 20.25 0.86 177.3 -1.5 70.92
447 25.75 1.975 0.225 20.25 0.84 144.6 -1.5 57.84
448 25.75 1.975 0.225 20.25 0.95 119.9 -1.65 47.96
449 25.75 1.975 0.225 20.25 0.92 152.2 -1.65 60.88
450 26 1.991666667 0.2 18 0.91 131.6 -1.65 52.64
451 26.25 2.0125 0.175 15.75 0.88 124.7 -1.65 49.88
452 26.25 2.0125 0.175 15.75 0.83 136.7 -1.65 54.68
453 26.25 2.0125 0.175 15.75 0.83 123.4 -1.65 49.36
454 26.25 2.0125 0.175 15.75 0.89 140.8 -1.65 56.32
455 26.5 2.025 0.155 13.95 0.94 141.4 -1.8 56.56
456 26.75 2.0375 0.13125 11.8125 0.91 115.3 -1.8 46.12
457 26.75 2.0375 0.13125 11.8125 0.81 93.5 -1.8 37.4
458 26.75 2.0375 0.13125 11.8125 0.85 96.9 -1.8 38.76
459 26.75 2.0375 0.13125 11.8125 0.83 93.1 -1.8 37.24
460 26.83333333 2.041666667 0.115 10.35 0.96 98.3 -1.8 39.32
461 27 2.05 0.09375 8.4375 0.93 72 -1.8 28.8
462 27 2.05 0.09375 8.4375 0.7 77.5 -1.8 31
463 27 2.05 0.09375 8.4375 0.81 70.9 -1.8 28.36
464 27 2.05 0.082 7.38 0.81 54.5 -1.8 21.8
465 27 2.05 0.082 7.38 0.84 54.3 -1.8 21.72
466 27 2.05 0.065 5.85 0.89 44.3 -1.8 17.72
467 27 2.05 0.065 5.85 0.91 54.1 -1.8 21.64
468 27 2.05 0.05686 5.1174 0.93 45 -1.8 18
469 27.03333333 2.05 0.053133333 4.782 0.93 41.7 -1.8 16.68
470 27.03333333 2.05 0.053133333 4.782 0.86 45.2 -1.8 18.08
471 27.05 2.05 0.04376 3.9384 0.83 37.9 -1.8 15.16
472 27.05 2.05 0.04376 3.9384 0.76 24.9 -1.8 9.96
473 27.11541667 2.052916667 0.04376 3.9384 0.81 19.2 -1.8 7.68
474 27.13434028 2.053854167 0.04376 3.9384 0.89 16.2 -1.8 6.48
475 27.13434028 2.053854167 0.04376 3.9384 0.92 13.2 -1.8 5.28
476 27.17912037 2.055138889 0.03595 3.2355 0.88 10.3 -1.8 4.12
477 27.17912037 2.055138889 0.03595 3.2355 0.84 8.6 -1.8 3.44
478 27.17912037 2.055138889 0.03595 3.2355 0.85 5.1 -1.8 2.04
479 27.17912037 2.055138889 0.03595 3.2355 0.82 2 -1.8 0.8
